,TS,start_anomaly,window length,prob_anomaly,lat,lon,anomaly sample length
0,"date
2015-09-21   -0.155274
2015-10-15    0.054893
2016-04-12    0.422640
2016-07-05   -0.411460
2016-09-27   -0.753656
                ...   
2023-07-29    0.694867
2023-08-10   -0.939332
2023-08-22    1.001785
2023-09-03    0.471156
2023-09-15   -2.131301
Name: values_750_3500, Length: 193, dtype: float32",0,0.0,0.0,25.928337,-80.31182,
1,"date
2015-09-21   -0.403938
2015-10-15    0.209955
2016-04-12    0.120462
2016-07-05   -0.263813
2016-09-27   -0.822033
                ...   
2023-07-29    0.306643
2023-08-10   -0.495005
2023-08-22    0.742974
2023-09-03    0.014603
2023-09-15    2.717262
Name: values_750_3501, Length: 193, dtype: float32",0,0.0,0.0,25.928343,-80.31178,
2,"date
2015-09-21   -0.331692
2015-10-15    0.173443
2016-04-12   -0.251657
2016-07-05    0.101558
2016-09-27   -1.076878
                ...   
2023-07-29    0.317504
2023-08-10   -0.035475
2023-08-22    0.894221
2023-09-03    1.014053
2023-09-15    1.426335
Name: values_750_3502, Length: 193, dtype: float32",0,0.0,0.0,25.928349,-80.31175,
3,"date
2015-09-21   -0.204255
2015-10-15    0.041167
2016-04-12   -0.270388
2016-07-05    0.376191
2016-09-27   -1.259401
                ...   
2023-07-29    0.837452
2023-08-10    0.318190
2023-08-22    0.964320
2023-09-03    1.123881
2023-09-15    1.250499
Name: values_750_3503, Length: 193, dtype: float32",0,0.0,0.0,25.928354,-80.311714,
4,"date
2015-09-21   -0.100288
2015-10-15    0.228428
2016-04-12   -0.510715
2016-07-05   -0.028718
2016-09-27   -0.765572
                ...   
2023-07-29   -0.423539
2023-08-10   -0.395957
2023-08-22    1.850394
2023-09-03   -0.448638
2023-09-15    2.235651
Name: values_750_3504, Length: 193, dtype: float32",0,0.0,0.0,25.92836,-80.31168,
5,"date
2015-09-21   -0.589091
2015-10-15    0.248023
2016-04-12   -0.421530
2016-07-05    0.209023
2016-09-27   -0.861150
                ...   
2023-07-29    0.717686
2023-08-10    0.203158
2023-08-22    1.199378
2023-09-03    0.741387
2023-09-15    1.129833
Name: values_750_3505, Length: 193, dtype: float32",0,0.0,0.0,25.928366,-80.311646,
6,"date
2015-09-21   -0.301018
2015-10-15    0.064624
2016-04-12    0.287131
2016-07-05    0.080547
2016-09-27   -0.750334
                ...   
2023-07-29    0.219097
2023-08-10   -1.120179
2023-08-22    1.028751
2023-09-03    0.242566
2023-09-15    2.272293
Name: values_750_3506, Length: 193, dtype: float32",0,0.0,0.0,25.928371,-80.311615,
7,"date
2015-09-21   -0.320754
2015-10-15    0.105524
2016-04-12    0.129741
2016-07-05    0.013102
2016-09-27   -0.942585
                ...   
2023-07-29    0.407601
2023-08-10   -1.091782
2023-08-22    0.750668
2023-09-03    0.443170
2023-09-15    1.213914
Name: values_750_3507, Length: 193, dtype: float32",0,0.0,0.0,25.928377,-80.31158,
8,"date
2015-09-21   -0.285816
2015-10-15    0.006745
2016-04-12    0.262598
2016-07-05    0.101891
2016-09-27   -0.913593
                ...   
2023-07-29    0.398203
2023-08-10   -0.898783
2023-08-22    0.564248
2023-09-03    0.520038
2023-09-15    1.175874
Name: values_750_3508, Length: 193, dtype: float32",0,0.0,0.0,25.928383,-80.31155,
9,"date
2015-09-21   -0.247731
2015-10-15   -0.104765
2016-04-12    0.219884
2016-07-05    0.198321
2016-09-27   -0.930998
                ...   
2023-07-29    0.657768
2023-08-10   -1.421872
2023-08-22    1.127237
2023-09-03   -2.975990
2023-09-15    1.873413
Name: values_750_3509, Length: 193, dtype: float32",0,0.0,0.0,25.928389,-80.31151,
10,"date
2015-09-21    0.171720
2015-10-15   -0.145853
2016-04-12    0.425169
2016-07-05    0.001302
2016-09-27   -0.702651
                ...   
2023-07-29    1.283572
2023-08-10   -1.360554
2023-08-22    0.675593
2023-09-03   -2.073914
2023-09-15    1.954023
Name: values_750_3510, Length: 193, dtype: float32",0,0.0,0.0,25.928394,-80.31148,
11,"date
2015-09-21   -0.107556
2015-10-15   -0.146453
2016-04-12    0.360308
2016-07-05    0.140095
2016-09-27   -0.919777
                ...   
2023-07-29    1.003193
2023-08-10   -1.233441
2023-08-22    0.917104
2023-09-03   -2.165377
2023-09-15    1.945812
Name: values_750_3511, Length: 193, dtype: float32",0,0.0,0.0,25.9284,-80.31144,
12,"[array([ 7.57732093e-01,  8.82360578e-01, -3.04809064e-01,  7.82148659e-01,
       -8.32136333e-01,  4.47521582e-02, -3.72060090e-01,  1.96866572e-01,
        2.26098940e-01, -1.68434530e-01,  7.83734083e-01,  2.24070817e-01,
        3.62937808e-01, -1.18049607e-01, -1.38220578e-01, -2.71407813e-02,
       -2.86489427e-02,  5.19522429e-02,  3.50779444e-01, -1.88738853e-03,
        6.07339144e-01,  1.25701517e-01, -1.95532262e-01, -2.48215199e-02,
       -1.78090483e-01,  2.77302027e-01,  4.22235399e-01, -3.78962636e-01,
       -4.58497524e-01, -3.87876093e-01, -2.96099365e-01, -8.73625278e-02,
        1.67124718e-01, -6.32101148e-02, -9.71796811e-02,  6.33282959e-02,
        3.40225250e-02, -1.73524499e-01, -6.13712370e-02, -1.97847366e-01,
       -1.19735524e-02, -2.34444141e-02,  6.16101027e-02,  2.90171683e-01,
       -5.11604548e-03,  4.97132063e-01,  2.66436934e-02, -1.46814227e-01,
        1.86502591e-01, -3.69354159e-01,  2.46974260e-01, -1.71529472e-01,
       -1.42293453e-01, -2.86384076e-02, -9.87629294e-02, -4.44971949e-01,
        1.09143555e-02, -3.94212186e-01,  2.95124650e-02,  1.99144214e-01,
       -1.40622512e-01, -3.77556592e-01,  1.11364588e-01, -5.27574360e-01,
       -5.77177554e-02, -4.35992271e-01, -1.04572773e-01, -1.84233427e-01,
        2.03099653e-01, -4.42382365e-01, -6.84291124e-02, -9.08020735e-02,
        3.45476389e-01,  5.58247328e-01, -1.65994287e-01, -4.49313819e-02,
        6.05665684e-01, -3.02991182e-01, -7.78809249e-01,  1.11314476e-01,
        1.59784496e-01, -4.57829237e-01, -7.66863108e-01,  6.91346228e-02,
        3.15116346e-01,  6.41258776e-01,  2.22650945e-01,  3.50512862e-02,
        2.69556224e-01,  2.49246478e-01,  1.75948590e-02,  8.22050869e-02,
       -7.07254112e-02, -1.18086696e-01,  1.14232302e-02,  2.44819880e-01,
        3.29080373e-01,  5.73502034e-02,  7.76316524e-02, -4.32996750e-02,
        3.68528724e-01, -4.50876355e-02,  1.60718083e-01, -9.68450904e-01,
       -5.10067701e-01,  3.65382671e-01,  3.85518014e-01,  7.96912313e-02,
        4.99918580e-01,  2.46095061e-02,  1.99690297e-01,  1.54059023e-01,
        8.05612564e-01,  1.81343722e+00, -3.59958708e-02, -3.86855543e-01,
       -2.59585857e-01, -4.85157371e-02, -4.77955937e-02, -3.02019477e-01,
       -5.59404671e-01,  3.16946432e-02,  2.45561928e-01, -5.50273776e-01,
        6.21958852e-01, -2.20016003e-01,  3.73093426e-01,  9.87628698e-01,
        1.22624092e-01,  6.24187350e-01,  5.18605232e-01,  1.76937401e-01,
        8.09785664e-01, -4.33210194e-01, -2.24471116e+00,  4.23090011e-01,
        1.51899445e+00,  5.22407413e-01,  7.19677866e-01,  8.99216413e-01,
       -9.51795518e-01, -1.28606188e+00, -1.30639446e+00, -6.40286684e-01,
       -5.02987385e-01,  8.86665881e-02, -3.98788154e-01,  1.80033311e-01,
       -4.65884954e-02, -2.21695483e-01, -1.84522736e+00,  1.50611311e-01,
        8.27621520e-02, -1.73973903e-01,  1.16082573e+00, -1.98328567e+00,
        1.44809055e+00, -3.99229765e-01, -1.22319174e+00,  1.18485951e+00,
       -6.82701588e-01,  1.67247963e+00,  1.46952856e+00, -3.54104728e-01,
        2.16642261e+00,  1.30200005e+00, -5.73757052e-01,  1.23163998e-01,
        9.45760608e-02,  6.07336521e-01,  1.31177235e+00, -2.05433512e+00,
       -5.52029729e-01,  7.57868946e-01, -2.14258385e+00,  1.18367147e+00,
       -1.88365638e+00, -1.75360727e+00, -1.10037339e+00, -1.25232434e+00,
       -1.19529712e+00, -9.00895536e-01,  1.73696208e+00, -9.31279182e-01,
       -1.16911852e+00, -5.49925804e-01,  1.70231473e+00, -1.10607123e+00,
        1.24820530e+00, -1.37621319e+00,  1.97378874e+00, -1.10815752e+00,
        2.16147757e+00], dtype=float32)]",2022-06-28 00:00:00,,0.99,25.928406,-80.3114,12.0
13,"date
2015-09-21    1.937310
2015-10-15    0.501932
2016-04-12    0.635775
2016-07-05   -1.068945
2016-09-27    0.348972
                ...   
2023-07-29   -0.053079
2023-08-10   -0.994792
2023-08-22    2.137626
2023-09-03   -1.254946
2023-09-15    1.399632
Name: values_750_3513, Length: 193, dtype: float32",0,0.0,0.0,25.928411,-80.31137,
14,"date
2015-09-21    0.369762
2015-10-15   -0.427975
2016-04-12    1.066957
2016-07-05   -0.587866
2016-09-27    0.839982
                ...   
2023-07-29    0.942462
2023-08-10   -0.801507
2023-08-22    2.180201
2023-09-03   -1.018135
2023-09-15    1.832137
Name: values_750_3514, Length: 193, dtype: float32",0,0.0,0.0,25.928417,-80.31133,
15,"date
2015-09-21    0.592957
2015-10-15   -0.160338
2016-04-12    1.048927
2016-07-05   -0.189156
2016-09-27    0.565603
                ...   
2023-07-29    0.668131
2023-08-10   -0.601272
2023-08-22    2.049548
2023-09-03   -0.372411
2023-09-15    0.412593
Name: values_750_3515, Length: 193, dtype: float32",0,0.0,0.0,25.928423,-80.311295,
16,"date
2015-09-21    0.005808
2015-10-15   -0.000059
2016-04-12    0.241164
2016-07-05    0.401921
2016-09-27    0.107619
                ...   
2023-07-29    0.825412
2023-08-10   -0.868092
2023-08-22   -1.043512
2023-09-03   -0.637226
2023-09-15   -1.628479
Name: values_750_3516, Length: 193, dtype: float32",0,0.0,0.0,25.928429,-80.311264,
17,"date
2015-09-21    0.068142
2015-10-15   -0.110035
2016-04-12    0.151609
2016-07-05    0.293658
2016-09-27    0.059108
                ...   
2023-07-29    0.642579
2023-08-10   -0.784442
2023-08-22   -1.037444
2023-09-03   -0.613208
2023-09-15   -1.759797
Name: values_750_3517, Length: 193, dtype: float32",0,0.0,0.0,25.928434,-80.311226,
18,"date
2015-09-21    0.033303
2015-10-15    0.042946
2016-04-12    0.168392
2016-07-05    0.379058
2016-09-27    0.079366
                ...   
2023-07-29    0.705182
2023-08-10   -0.644686
2023-08-22   -1.198852
2023-09-03   -0.861411
2023-09-15   -1.275882
Name: values_750_3518, Length: 193, dtype: float32",0,0.0,0.0,25.92844,-80.311195,
19,"date
2015-09-21    0.349363
2015-10-15   -0.320787
2016-04-12    0.042739
2016-07-05    1.331979
2016-09-27   -0.036457
                ...   
2023-07-29    1.202163
2023-08-10   -0.295644
2023-08-22   -1.551625
2023-09-03   -0.804631
2023-09-15    0.366012
Name: values_750_3519, Length: 193, dtype: float32",0,0.0,0.0,25.928446,-80.31116,
20,"date
2015-09-21   -0.257883
2015-10-15   -0.236246
2016-04-12    0.388053
2016-07-05    0.356834
2016-09-27   -0.021648
                ...   
2023-07-29   -0.086418
2023-08-10   -0.618494
2023-08-22   -1.459033
2023-09-03   -0.876833
2023-09-15   -0.379063
Name: values_750_3520, Length: 193, dtype: float32",0,0.0,0.0,25.928452,-80.31113,
21,"date
2015-09-21   -0.257908
2015-10-15   -0.236267
2016-04-12    0.388071
2016-07-05    0.356847
2016-09-27   -0.021630
                ...   
2023-07-29   -0.086118
2023-08-10   -0.619102
2023-08-22   -1.458402
2023-09-03   -0.877301
2023-09-15   -0.378990
Name: values_750_3521, Length: 193, dtype: float32",0,0.0,0.0,25.928457,-80.31109,
22,"date
2015-09-21   -0.506701
2015-10-15   -0.032742
2016-04-12   -0.016332
2016-07-05    0.200102
2016-09-27   -0.238541
                ...   
2023-07-29    0.041624
2023-08-10   -0.057948
2023-08-22   -2.259729
2023-09-03   -0.262037
2023-09-15   -0.912905
Name: values_750_3522, Length: 193, dtype: float32",0,0.0,0.0,25.928463,-80.31106,
23,"date
2015-09-21   -0.946390
2015-10-15   -1.005801
2016-04-12   -1.066222
2016-07-05   -0.724193
2016-09-27    1.191107
                ...   
2023-07-29   -0.134483
2023-08-10    0.646022
2023-08-22   -0.346053
2023-09-03   -0.011456
2023-09-15    0.387109
Name: values_750_3523, Length: 193, dtype: float32",0,0.0,0.0,25.928469,-80.31103,
24,"date
2015-09-21   -0.482440
2015-10-15    0.163713
2016-04-12    0.068959
2016-07-05    0.355525
2016-09-27   -0.441321
                ...   
2023-07-29   -0.055835
2023-08-10    0.324594
2023-08-22   -2.224459
2023-09-03   -0.029709
2023-09-15   -0.609138
Name: values_750_3524, Length: 193, dtype: float32",0,0.0,0.0,25.928473,-80.31099,
25,"date
2015-09-21   -0.451385
2015-10-15    0.040023
2016-04-12    0.006800
2016-07-05    0.230798
2016-09-27   -0.198675
                ...   
2023-07-29    0.056060
2023-08-10    0.100891
2023-08-22   -2.198345
2023-09-03   -0.198837
2023-09-15   -0.963823
Name: values_750_3525, Length: 193, dtype: float32",0,0.0,0.0,25.928478,-80.31096,
26,"date
2015-09-21   -0.423100
2015-10-15    0.093842
2016-04-12    0.130829
2016-07-05    0.354522
2016-09-27   -0.205724
                ...   
2023-07-29   -0.207993
2023-08-10    0.784700
2023-08-22   -2.335838
2023-09-03   -0.003935
2023-09-15   -0.790942
Name: values_750_3526, Length: 193, dtype: float32",0,0.0,0.0,25.928484,-80.31092,
27,"date
2015-09-21   -0.619725
2015-10-15    0.006253
2016-04-12    0.173983
2016-07-05    0.312619
2016-09-27   -0.644286
                ...   
2023-07-29   -0.138059
2023-08-10    0.994357
2023-08-22   -1.452827
2023-09-03    0.283343
2023-09-15    0.106660
Name: values_750_3527, Length: 193, dtype: float32",0,0.0,0.0,25.92849,-80.31089,
