,start_anomaly,anomaly sample length,prob_anomaly,lat,lon
0,0,,0.0,25.928337,-80.31182
1,0,,0.0,25.928343,-80.31178
2,0,,0.0,25.928349,-80.31175
3,0,,0.0,25.928354,-80.311714
4,2022-09-20 00:00:00,6.0,0.95,25.92836,-80.31168
5,2022-12-01 00:00:00,1.0,0.95,25.928366,-80.311646
6,0,,0.0,25.928371,-80.311615
7,0,,0.0,25.928377,-80.31158
8,0,,0.0,25.928383,-80.31155
9,0,,0.0,25.928389,-80.31151
10,2022-10-26 00:00:00,4.0,0.95,25.928394,-80.31148
11,0,,0.0,25.9284,-80.31144
12,2021-10-07 00:00:00,32.0,0.95,25.928406,-80.3114
13,0,,0.0,25.928411,-80.31137
14,2021-09-25 00:00:00,22.0,0.95,25.928417,-80.31133
15,0,,0.0,25.928423,-80.311295
16,0,,0.0,25.928429,-80.311264
17,0,,0.0,25.928434,-80.311226
18,0,,0.0,25.92844,-80.311195
19,2022-08-27 00:00:00,7.0,0.95,25.928446,-80.31116
20,0,,0.0,25.928452,-80.31113
21,0,,0.0,25.928457,-80.31109
22,0,,0.0,25.928463,-80.31106
23,0,,0.0,25.928469,-80.31103
24,0,,0.0,25.928473,-80.31099
25,0,,0.0,25.928478,-80.31096
26,0,,0.0,25.928484,-80.31092
27,0,,0.0,25.92849,-80.31089
28,0,,0.0,25.928495,-80.31086
29,0,,0.0,25.928501,-80.31082
30,0,,0.0,25.928463,-80.311844
31,0,,0.0,25.928469,-80.311806
32,0,,0.0,25.928474,-80.311775
33,0,,0.0,25.92848,-80.31174
34,2022-12-01 00:00:00,1.0,0.95,25.928486,-80.3117
35,2022-12-01 00:00:00,1.0,0.95,25.928492,-80.31167
36,2022-10-26 00:00:00,4.0,0.95,25.928497,-80.31163
37,2022-08-15 00:00:00,8.0,0.95,25.928503,-80.31159
38,0,,0.0,25.928509,-80.31156
39,2022-09-20 00:00:00,6.0,0.95,25.928514,-80.31152
40,0,,0.0,25.92852,-80.311485
41,0,,0.0,25.928526,-80.311455
42,0,,0.0,25.928532,-80.31142
